tract,GEOID,county,has_computer,broadband,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms,index
9601.0,53003960100, Asotin County,0.16547144851806356,0.21613560540587606,-0.18509273190359152,-1.0620454274467688,0.283915286540471,1.1831499561734486,-0.26341575225410496
9602.0,53003960200, Asotin County,0.2911225844198514,0.32509577121948374,0.42038529673191444,-0.6423230131675732,-0.4316276622230375,-0.15458892777116978,0.34756735330986166
9603.0,53003960300, Asotin County,-0.3240131033645307,-0.4259649789205801,0.39796018456022214,-0.3153385193842579,-0.27353197379075433,0.10992816876464045,-0.7242109003164505
9604.0,53003960400, Asotin County,-0.0018644011124226978,-0.8332937109712778,1.1267763301399891,-0.8575779070038563,-0.40697495372709624,-0.2762437407471395,-0.9347366470688886
9605.0,53003960500, Asotin County,0.12474358995677855,-0.1174631738755846,1.1267763301399891,-0.09016700940973085,-0.47713418414322517,-0.3010896119407102,0.07162826551199654
9606.0,53003960600, Asotin County,0.32514374802610113,0.10504948901885351,0.07404189763588444,-0.5799352794488712,-0.4076210566831861,-0.07755652715791322,0.09377983707017275
2.01,53063000201, Spokane County,0.7539075785325317,1.1637063615557781,1.189246285475394,0.8141195793418955,-0.4475750632814464,-0.6579883600045343,2.0871108587945453
2.02,53063000202, Spokane County,0.56377605458046,0.3803695811681255,0.7259274500711173,1.238756343557463,1.4860641607565346,-0.8684519961341282,1.6114583221564749
3.01,53063000301, Spokane County,0.3866299738294881,0.4977280331402475,0.7259274500711173,0.8026246445626698,-0.4215783506333343,-0.6684855722372226,1.142434137674191
3.02,53063000302, Spokane County,-0.4613546716628001,-0.4271314871733551,0.7259274500711173,1.029824596956786,0.5461292941066989,-0.7450631909092797,-0.030952999464118697
4.0,53063000400, Spokane County,0.18035328661936728,0.44303135779640973,-0.2822682179808841,0.7124341123674599,0.39148735023954767,-0.7633670886338101,0.9795769130791143
5.0,53063000500, Spokane County,0.21319427543038527,0.51761166428448,-0.2822682179808841,0.5449630001256117,0.8829826265516362,-0.7839222154786859,1.1186686142265403
6.0,53063000600, Spokane County,0.24142305667839703,0.4503203790662364,0.7259274500711173,0.8764472447750858,-0.05768757318030321,-0.5951969339641803,1.0755259467225364
7.0,53063000700, Spokane County,0.48686616548685985,0.4406583258021047,0.7259274500711173,1.4280589602303244,1.0590434217963975,-0.702980714076787,1.565013409245294
8.0,53063000800, Spokane County,-0.38605613123728433,-0.19879891583089243,0.7259274500711173,0.698546350260624,1.3567559048278224,-0.47970637628224433,0.22351348797640233
9.0,53063000900, Spokane County,-0.31409588644974773,-0.1942479277928228,0.7259274500711173,0.9290823217452305,1.3068906868898567,-0.5959227776778238,0.3517990126782763
10.0,53063001000, Spokane County,0.16961610830625984,0.27037366154901743,0.7259274500711173,0.7615366546656263,1.3701935859877912,-0.7396695249041065,1.1007426045669189
11.0,53063001100, Spokane County,0.09865237840403895,0.667828175070616,0.7259274500711173,0.9486302359209222,1.2569820223269428,-0.7245561591574222,1.498124068120716
12.0,53063001200, Spokane County,0.041857885792620175,0.2841454993854054,0.7259274500711173,0.4828686540694957,0.29124032762359364,-0.7354053654206802,0.7868676589926588
13.0,53063001300, Spokane County,0.6017730641530064,0.7540295951673179,-0.2822682179808841,0.8119108536967233,-0.2356328565470619,-0.751002796421404,1.4481542018572868
14.0,53063001400, Spokane County,0.003695293789764612,0.15363824377527782,-0.2822682179808841,1.1163848352429144,1.4696050490886436,-0.799765639080568,0.8842604813151129
15.0,53063001500, Spokane County,-0.16494983056450474,-0.19466695785121024,0.7259274500711173,0.7396462670075484,2.4453873288067487,-0.7543164287450288,0.6181234719218959
16.0,53063001600, Spokane County,-0.33398535460009204,-0.24369550806752224,0.7259274500711173,1.0605136829522215,2.005100373536241,-0.7327255404616178,0.4799210120125254
18.0,53063001800, Spokane County,0.006740174078085119,0.03170871045607591,0.7259274500711173,0.5991800943038208,1.191237576489676,-0.7649550383471454,0.6986968081906163
19.0,53063001900, Spokane County,0.053437667320074246,0.20137191011714461,0.7259274500711173,0.5374237659046078,1.1535181864368476,-0.45982641913476174,0.794351288263645
20.0,53063002000, Spokane County,0.27984303557208584,0.30973904368982935,0.7259274500711173,0.7649362826318945,2.131135283127907,-0.8077798467316233,1.34984285733718
21.0,53063002100, Spokane County,0.603137261216648,0.7320185985928293,0.7259274500711173,0.6690180892396906,1.4616777596186672,-0.8187393339959799,1.826451462712634
23.0,53063002300, Spokane County,0.3334908150946245,0.5520231180076953,0.7259274500711173,0.721261807316684,1.0326668690516034,-0.7739032618525565,1.4222578513741202
24.0,53063002400, Spokane County,-0.641869346492915,-0.5872470601647481,0.7259274500711173,0.010788978898862212,0.5483288466636148,-0.5442376994477958,-0.6197599987877455
25.01,53063002501, Spokane County,-0.5703812657282468,-0.384340567836101,0.7259274500711173,0.8785275259866504,2.1184966210207095,-0.41825906157640047,0.0915695927855051
